,Date,Location,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
500,12/03/2021,MT,52.1,60.1
501,12/03/2021,WA,65.4,73.2
502,12/03/2021,DE,61.9,73.4
503,12/03/2021,VI,49.2,57.1
504,12/03/2021,RI,73.1,83.7
505,12/03/2021,BP2,0.0,0.0
506,12/03/2021,MS,47.1,54.1
507,12/03/2021,MN,62.9,69.3
508,12/03/2021,DD2,0.0,0.0
509,12/03/2021,TX,55.0,64.4
510,12/03/2021,NV,54.7,66.7
511,12/03/2021,OH,53.4,58.7
512,12/02/2021,NE,57.7,64.3
513,12/02/2021,KS,54.9,66.5
514,12/02/2021,ID,45.3,50.9
515,12/02/2021,NV,54.7,66.6
516,12/02/2021,AK,54.4,63.1
517,12/02/2021,LA,49.0,55.8
518,12/02/2021,NH,64.9,88.2
519,12/02/2021,VA2,0.0,0.0
520,12/02/2021,WV,48.9,69.0
521,12/02/2021,KY,52.3,60.5
522,12/02/2021,MT,52.0,60.0
523,12/02/2021,FM,41.5,46.7
524,12/02/2021,MI,54.8,61.4
525,12/02/2021,US,59.6,70.6
526,12/02/2021,DD2,0.0,0.0
527,12/02/2021,HI,61.2,82.4
528,12/02/2021,IL,61.6,69.1
529,12/02/2021,TN,49.7,57.0
530,12/02/2021,CO,63.5,71.7
531,12/02/2021,AL,46.3,56.7
532,12/02/2021,CT,72.2,84.4
533,12/02/2021,MN,62.8,69.2
534,12/02/2021,DE,61.8,73.3
535,12/02/2021,PA,58.7,82.0
536,12/02/2021,NM,63.7,76.9
537,12/02/2021,NY,68.7,78.6
538,12/02/2021,MH,28.3,32.0
539,12/02/2021,DC,64.7,81.9
540,12/02/2021,RP,73.7,84.9
541,12/02/2021,ND,49.0,58.2
542,12/02/2021,MA,71.4,86.1
543,12/02/2021,NJ,68.0,79.4
544,12/02/2021,NC,54.4,70.6
545,12/02/2021,BP2,0.0,0.0
546,12/02/2021,WI,59.7,66.0
547,12/02/2021,TX,54.9,64.3
548,12/02/2021,GA,49.7,59.2
549,12/02/2021,WY,45.7,53.9
550,12/02/2021,SC,51.6,60.5
551,12/02/2021,IN,50.7,55.9
552,12/02/2021,OK,51.7,63.1
553,12/02/2021,WA,65.3,73.1
554,12/02/2021,GU,73.5,80.9
555,12/02/2021,OH,53.3,58.6
556,12/02/2021,OR,64.2,71.6
557,12/02/2021,AS,66.2,75.1
558,12/02/2021,ME,72.5,82.3
559,12/02/2021,IH2,37.9,47.3
560,12/02/2021,IA,56.9,62.8
561,12/02/2021,AZ,54.9,64.6
562,12/02/2021,MS,47.1,54.1
563,12/02/2021,FL,61.6,72.0
564,12/02/2021,CA,63.4,79.1
565,12/02/2021,VI,49.2,57.0
566,12/02/2021,VA,65.2,75.8
567,12/02/2021,AR,49.5,60.7
568,12/02/2021,UT,55.7,64.9
569,12/02/2021,MD,67.9,77.2
570,12/02/2021,MO,51.1,60.0
571,12/02/2021,PR,74.2,85.2
572,12/02/2021,MP,69.9,77.8
573,12/02/2021,RI,72.8,83.6
574,12/02/2021,SD,54.9,67.3
575,12/02/2021,VT,73.1,85.7
576,12/01/2021,VI,49.1,56.9
577,12/01/2021,TX,54.8,64.2
578,12/01/2021,MN,62.6,69.1
579,12/01/2021,IN,50.6,55.7
580,12/01/2021,DC,64.6,81.8
581,12/01/2021,RP,73.4,84.5
582,12/01/2021,MI,54.7,61.3
583,12/01/2021,OH,53.1,58.5
584,12/01/2021,BP2,0.0,0.0
585,12/01/2021,DE,61.6,73.1
586,12/01/2021,AZ,54.7,64.4
587,12/01/2021,US,59.4,70.4
588,12/01/2021,AL,46.2,56.6
589,12/01/2021,HI,61.0,82.1
590,12/01/2021,IH2,37.8,47.2
591,12/01/2021,OK,51.6,62.9
592,12/01/2021,IL,61.8,69.6
593,12/01/2021,OR,64.1,71.5
594,12/01/2021,SD,54.8,67.2
595,12/01/2021,MA,71.3,85.9
596,12/01/2021,CA,63.3,78.9
597,12/01/2021,MP,69.3,77.3
598,12/01/2021,MT,51.9,59.9
599,12/01/2021,NJ,67.9,79.3
600,12/01/2021,NV,54.6,66.5
601,12/01/2021,MO,51.0,59.8
602,12/01/2021,ME,72.4,82.1
603,12/01/2021,CT,72.1,84.2
604,12/01/2021,FL,61.5,71.9
605,12/01/2021,CO,63.4,71.6
606,12/01/2021,WV,41.5,53.9
607,12/01/2021,WA,65.2,73.0
608,12/01/2021,RI,72.7,83.4
609,12/01/2021,WI,59.6,65.9
610,12/01/2021,MD,67.7,77.1
611,12/01/2021,GU,73.4,80.7
612,12/01/2021,FM,41.5,46.7
613,12/01/2021,KS,54.7,66.3
614,12/01/2021,PR,74.1,84.9
615,12/01/2021,WY,45.6,53.8
616,12/01/2021,MS,47.1,54.0
617,12/01/2021,MH,28.3,32.0
618,12/01/2021,VA2,0.0,0.0
619,12/01/2021,IA,56.8,62.7
620,12/01/2021,ND,48.9,58.1
621,12/01/2021,TN,49.6,56.9
622,12/01/2021,AK,54.3,62.9
623,12/01/2021,AS,66.2,75.1
624,12/01/2021,NE,57.4,64.1
625,12/01/2021,VT,73.0,85.5
626,12/01/2021,NC,54.3,70.4
627,12/01/2021,VA,65.0,75.7
628,12/01/2021,AR,49.4,60.6
629,12/01/2021,PA,58.5,81.8
630,12/01/2021,UT,55.7,64.9
631,12/01/2021,KY,52.2,60.3
632,12/01/2021,NY,68.6,78.4
633,12/01/2021,NM,63.6,76.7
634,12/01/2021,GA,49.7,59.1
635,12/01/2021,ID,45.3,50.8
636,12/01/2021,DD2,0.0,0.0
637,12/01/2021,NH,64.8,87.9
638,12/01/2021,LA,48.9,55.7
639,12/01/2021,SC,51.5,60.3
640,11/30/2021,DE,61.6,73.1
641,11/30/2021,WI,59.5,65.8
642,11/30/2021,AZ,54.7,64.3
643,11/30/2021,TN,49.5,56.8
644,11/30/2021,CA,63.2,78.8
645,11/30/2021,CT,72.0,84.1
646,11/30/2021,NY,68.5,78.2
647,11/30/2021,OK,51.5,62.8
648,11/30/2021,HI,61.0,82.1
649,11/30/2021,AK,54.2,62.8
650,11/30/2021,KS,54.6,66.2
651,11/30/2021,KY,52.1,60.3
652,11/30/2021,WA,65.0,72.9
653,11/30/2021,SD,54.6,67.0
654,11/30/2021,RI,72.6,83.2
655,11/30/2021,IL,61.7,69.4
656,11/30/2021,MO,50.9,59.7
657,11/30/2021,RP,73.3,83.9
658,11/30/2021,VA,64.9,75.6
659,11/30/2021,MN,62.5,69.0
660,11/30/2021,GU,73.3,80.5
661,11/30/2021,WY,45.6,53.6
662,11/30/2021,IA,56.7,62.6
663,11/30/2021,BP2,0.0,0.0
664,11/30/2021,AS,66.2,75.1
665,11/30/2021,MS,46.9,53.7
666,11/30/2021,US,59.4,70.2
667,11/30/2021,MA,71.2,85.8
668,11/30/2021,NE,57.4,64.1
669,11/30/2021,NM,63.5,76.6
670,11/30/2021,TX,54.7,64.1
671,11/30/2021,MH,28.3,32.0
672,11/30/2021,WV,41.5,53.9
673,11/30/2021,IH2,37.8,47.0
674,11/30/2021,VT,72.9,85.5
675,11/30/2021,SC,51.4,60.3
676,11/30/2021,VI,49.0,56.6
677,11/30/2021,PR,74.1,84.9
678,11/30/2021,MT,51.9,59.8
679,11/30/2021,IN,50.6,55.7
680,11/30/2021,MD,67.6,76.9
681,11/30/2021,ID,45.2,50.7
682,11/30/2021,DC,64.5,81.6
683,11/30/2021,ME,72.3,82.0
684,11/30/2021,FM,41.5,46.7
